VIN,Trip,Make,Model,Version,Grade,Engine_Temperature,Battery_Voltage,Engine_Vibration,Mileage,Oil_Temperature,Coolant_Temperature,Engine_Load,RPM,Throttle_Position,Intake_Air_Temperature,Exhaust_Gas_Temperature,Fuel_Pressure
VIN00004,5,Hyundai,Elantra,2.0L,Limited,91.69999999999999,13.84,1.46,16.810000000000002,80.10000000000001,76.89999999999999,36.1,5338,16.900000000000002,8.0,208.6,77.30000000000001
VIN00004,6,Hyundai,Elantra,2.0L,Limited,86.89999999999999,14.72,0.05999999999999994,18.94,81.10000000000001,76.8,18.5,3137,14.200000000000001,16.1,314.3,94.0
VIN00004,7,Hyundai,Elantra,2.0L,Limited,91.0,13.9,0.15000000000000002,16.76,82.30000000000001,83.89999999999999,15.0,2763,25.4,5.2,309.8,95.60000000000001
VIN00004,8,Hyundai,Elantra,2.0L,Limited,84.1,14.03,1.67,17.150000000000002,75.30000000000001,87.39999999999999,27.8,3749,30.8,8.4,235.0,79.4
VIN00004,9,Hyundai,Elantra,2.0L,Limited,81.1,15.01,1.48,18.950000000000003,76.9,88.39999999999999,32.0,5189,30.6,7.9,210.9,91.30000000000001
VIN00004,10,Hyundai,Elantra,2.0L,Limited,92.1,14.1,1.3,16.900000000000002,89.7,86.6,14.6,6778,14.8,2.5,275.3,87.4
VIN00005,0,Audi,A4,2.0L TFSI,Premium,106.0,14.37,4.54,6.22,113.9,83.8,60.4,6490,69.3,31.0,399.3,45.3
VIN00005,1,Audi,A4,2.0L TFSI,Premium,97.3,15.0,4.5,5.34,118.2,86.2,45.599999999999994,3892,73.89999999999999,25.3,404.6,42.3
VIN00005,2,Audi,A4,2.0L TFSI,Premium,94.1,14.629999999999999,4.38,4.5,108.5,88.8,58.5,962,79.0,38.1,483.5,45.0
VIN00005,3,Audi,A4,2.0L TFSI,Premium,100.3,13.95,4.04,7.08,120.9,83.1,57.3,2535,70.7,40.4,310.3,41.199999999999996
VIN00005,4,Audi,A4,2.0L TFSI,Premium,95.2,14.34,4.72,6.31,110.30000000000001,93.39999999999999,66.5,4795,69.3,38.0,358.2,52.3
VIN00005,5,Audi,A4,2.0L TFSI,Premium,111.0,14.76,3.93,6.13,113.0,88.6,75.1,4510,68.5,25.8,382.7,42.099999999999994
VIN00005,6,Audi,A4,2.0L TFSI,Premium,98.5,13.6,3.84,4.76,120.10000000000001,75.7,62.699999999999996,6170,67.8,27.4,433.3,39.699999999999996
VIN00005,7,Audi,A4,2.0L TFSI,Premium,114.4,14.42,4.27,4.3999999999999995,108.7,79.39999999999999,73.4,3721,76.6,34.1,448.1,40.199999999999996
VIN00005,8,Audi,A4,2.0L TFSI,Premium,104.0,14.33,4.6,7.71,111.4,92.1,70.4,5015,54.4,29.9,448.2,49.8
VIN00005,9,Audi,A4,2.0L TFSI,Premium,92.0,14.76,5.12,7.52,114.9,91.89999999999999,53.6,3820,71.6,35.5,338.3,40.9
VIN00005,10,Audi,A4,2.0L TFSI,Premium,114.2,14.44,5.07,6.59,116.10000000000001,82.3,70.9,3691,73.89999999999999,33.3,329.1,37.199999999999996
VIN00006,0,Ford,Focus,1.5L,Titanium,85.2,13.69,1.11,7.34,80.0,104.6,77.8,3060,84.3,22.9,121.8,40.6
VIN00006,1,Ford,Focus,1.5L,Titanium,73.9,13.799999999999999,1.4700000000000002,5.9799999999999995,82.7,111.69999999999999,85.1,1186,89.5,14.499999999999998,171.3,43.5
VIN00006,2,Ford,Focus,1.5L,Titanium,82.60000000000001,14.45,1.4500000000000002,6.89,79.6,104.6,74.7,1063,81.2,17.099999999999998,81.19999999999999,50.2
VIN00006,3,Ford,Focus,1.5L,Titanium,92.3,12.899999999999999,0.1100000000000001,6.41,82.5,112.3,66.1,2291,70.5,24.9,201.89999999999998,35.0
VIN00006,4,Ford,Focus,1.5L,Titanium,88.7,14.219999999999999,0.8300000000000001,8.53,82.1,109.8,88.2,4336,92.1,15.299999999999999,166.0,40.4
VIN00006,5,Ford,Focus,1.5L,Titanium,82.8,13.299999999999999,0.16000000000000014,8.08,79.7,112.19999999999999,83.89999999999999,5726,82.89999999999999,28.299999999999997,151.0,33.5
VIN00006,6,Ford,Focus,1.5L,Titanium,90.60000000000001,13.36,1.05,7.03,81.3,113.89999999999999,82.0,1968,93.89999999999999,31.099999999999998,194.3,48.2
VIN00006,7,Ford,Focus,1.5L,Titanium,77.3,13.37,1.33,8.39,83.8,97.3,63.099999999999994,1838,84.89999999999999,24.799999999999997,143.9,32.7
VIN00006,8,Ford,Focus,1.5L,Titanium,75.4,13.51,0.5200000000000001,5.35,70.9,102.5,85.1,6662,84.8,16.4,198.8,36.4
VIN00006,9,Ford,Focus,1.5L,Titanium,95.9,13.62,1.37,5.72,86.6,95.89999999999999,86.7,6530,96.39999999999999,28.0,177.0,38.9
VIN00006,10,Ford,Focus,1.5L,Titanium,97.4,14.33,0.8700000000000001,8.99,73.3,113.19999999999999,75.2,4182,82.5,19.2,90.6,34.4
VIN00007,0,BMW,320i,2.0L Turbo,Luxury,94.1,13.64,4.64,17.8,71.9,93.3,38.8,2287,11.0,51.6,346.0,97.7
VIN00007,1,BMW,320i,2.0L Turbo,Luxury,98.5,13.01,3.67,17.67,68.7,93.8,46.9,1631,-1.4000000000000004,58.1,383.8,104.60000000000001
VIN00007,2,BMW,320i,2.0L Turbo,Luxury,86.19999999999999,13.83,5.26,18.87,70.9,83.3,26.299999999999997,5728,11.6,58.300000000000004,293.1,107.0
VIN00007,3,BMW,320i,2.0L Turbo,Luxury,87.89999999999999,13.56,4.58,17.05,63.50000000000001,90.1,39.9,711,5.7,46.0,275.1,107.3
VIN00007,4,BMW,320i,2.0L Turbo,Luxury,97.8,13.360000000000001,4.3,17.1,63.300000000000004,98.6,48.8,6125,17.3,58.4,352.2,88.8
VIN00007,5,BMW,320i,2.0L Turbo,Luxury,108.39999999999999,13.16,4.5,19.43,70.60000000000001,93.8,42.5,4273,14.0,47.2,402.8,88.3
VIN00007,6,BMW,320i,2.0L Turbo,Luxury,94.0,13.59,4.05,16.17,81.10000000000001,88.89999999999999,51.8,2159,8.5,47.300000000000004,280.9,97.60000000000001
VIN00007,7,BMW,320i,2.0L Turbo,Luxury,98.3,13.700000000000001,4.109999999999999,17.46,80.60000000000001,95.6,29.699999999999996,2847,15.7,57.4,426.9,91.4
VIN00007,8,BMW,320i,2.0L Turbo,Luxury,95.19999999999999,13.89,5.029999999999999,17.400000000000002,77.30000000000001,98.6,28.799999999999997,3489,20.6,45.9,264.6,91.60000000000001
VIN00007,9,BMW,320i,2.0L Turbo,Luxury,79.8,13.43,4.88,18.71,79.60000000000001,89.6,36.9,5111,21.7,53.300000000000004,348.2,89.8
VIN00007,10,BMW,320i,2.0L Turbo,Luxury,94.0,13.940000000000001,3.92,19.04,69.30000000000001,83.8,37.5,1452,9.1,59.900000000000006,437.6,102.5
VIN00008,0,Honda,Civic,2.0L,Sport,80.9,13.26,2.01,10.38,98.7,110.7,72.7,3234,74.0,57.4,588.1,97.2
VIN00008,1,Honda,Civic,2.0L,Sport,73.0,13.15,2.38,8.430000000000001,90.9,114.3,80.10000000000001,3351,81.4,53.4,532.3000000000001,91.3
VIN00008,2,Honda,Civic,2.0L,Sport,77.2,12.799999999999999,2.0199999999999996,11.83,93.0,108.2,86.9,1119,79.2,49.5,637.3000000000001,91.2
VIN00008,3,Honda,Civic,2.0L,Sport,85.7,13.31,1.7499999999999998,10.65,100.7,117.0,69.5,5145,77.2,54.199999999999996,511.90000000000003,104.10000000000001
VIN00008,4,Honda,Civic,2.0L,Sport,82.0,13.89,1.0599999999999998,11.290000000000001,95.5,108.60000000000001,68.8,4620,67.9,61.0,597.9,102.5
VIN00008,5,Honda,Civic,2.0L,Sport,82.2,13.7,1.5799999999999998,9.0,103.8,113.60000000000001,68.0,1581,80.7,63.9,680.8000000000001,93.60000000000001
VIN00008,6,Honda,Civic,2.0L,Sport,93.80000000000001,13.02,2.7199999999999998,11.06,101.7,101.2,84.8,5433,84.4,56.699999999999996,530.1,92.10000000000001
VIN00008,7,Honda,Civic,2.0L,Sport,67.0,13.22,2.9799999999999995,10.340000000000002,90.10000000000001,103.9,70.4,4713,75.8,49.0,677.5,105.10000000000001
VIN00008,8,Honda,Civic,2.0L,Sport,94.5,13.49,1.7799999999999998,11.610000000000001,92.60000000000001,106.2,84.3,1893,87.0,55.0,509.70000000000005,99.9
VIN00008,9,Honda,Civic,2.0L,Sport,72.9,13.03,2.44,10.940000000000001,107.8,102.2,79.2,1453,68.7,48.2,686.5,100.8
VIN00008,10,Honda,Civic,2.0L,Sport,87.0,13.7,1.9999999999999998,11.21,93.5,106.8,68.3,771,78.9,50.6,500.70000000000005,92.60000000000001
VIN00009,0,Honda,Civic,2.0L,Sport,95.8,12.85,2.37,18.14,109.4,105.4,67.0,6005,90.5,42.1,633.8,46.0
VIN00009,1,Honda,Civic,2.0L,Sport,84.1,13.07,1.9200000000000002,19.14,113.30000000000001,106.80000000000001,61.9,811,96.6,32.1,608.3,36.7
VIN00009,2,Honda,Civic,2.0L,Sport,98.5,12.9,1.6600000000000001,17.72,114.60000000000001,111.10000000000001,67.7,6478,89.3,36.1,596.3,40.6
VIN00009,3,Honda,Civic,2.0L,Sport,106.5,13.49,3.09,19.28,113.80000000000001,107.10000000000001,75.5,4698,80.2,36.6,543.8,50.9
VIN00009,4,Honda,Civic,2.0L,Sport,108.39999999999999,13.53,2.08,19.740000000000002,113.10000000000001,108.10000000000001,75.6,2419,103.4,48.4,592.0,51.2
VIN00009,5,Honda,Civic,2.0L,Sport,97.89999999999999,12.36,2.58,19.48,115.9,95.80000000000001,57.7,6813,77.2,44.9,684.5,44.9
VIN00009,6,Honda,Civic,2.0L,Sport,94.0,12.25,2.72,17.29,113.2,98.30000000000001,68.1,5384,84.5,44.9,537.5,43.6
VIN00009,7,Honda,Civic,2.0L,Sport,104.2,12.93,3.27,16.43,117.4,114.80000000000001,79.1,4269,96.5,35.0,659.1999999999999,42.2
VIN00009,8,Honda,Civic,2.0L,Sport,88.89999999999999,13.139999999999999,1.7600000000000002,17.25,109.2,104.30000000000001,62.6,3211,96.2,35.2,650.0999999999999,49.7
VIN00009,9,Honda,Civic,2.0L,Sport,85.5,12.86,2.83,18.03,110.0,113.30000000000001,69.7,5679,82.1,51.8,639.6999999999999,41.4
VIN00009,10,Honda,Civic,2.0L,Sport,106.89999999999999,13.57,2.7800000000000002,17.35,118.80000000000001,106.2,56.9,4629,83.0,35.1,629.0,45.1
VIN00010,0,Honda,Civic,2.0L,Sport,88.5,12.15,4.39,13.71,94.6,86.1,51.6,6554,16.8,46.9,144.2,51.2
VIN00010,1,Honda,Civic,2.0L,Sport,75.0,12.030000000000001,3.9599999999999995,13.690000000000001,104.1,91.8,50.6,4700,25.0,48.4,99.1,48.800000000000004
VIN00010,2,Honda,Civic,2.0L,Sport,89.2,11.73,3.5999999999999996,14.620000000000001,85.89999999999999,91.3,47.6,6533,12.600000000000001,51.9,88.99999999999999,44.5
VIN00010,3,Honda,Civic,2.0L,Sport,83.9,12.65,3.3999999999999995,11.940000000000001,100.89999999999999,94.19999999999999,48.6,5218,25.1,44.5,243.0,60.2
VIN00010,4,Honda,Civic,2.0L,Sport,95.6,12.31,3.76,13.780000000000001,89.1,95.69999999999999,56.4,2042,20.0,52.5,98.69999999999999,54.6
VIN00010,5,Honda,Civic,2.0L,Sport,95.1,11.67,5.26,13.25,99.69999999999999,77.69999999999999,57.2,1427,6.4,55.5,77.6,54.1
VIN00010,6,Honda,Civic,2.0L,Sport,75.2,12.91,3.9599999999999995,14.14,102.5,90.1,60.7,4757,20.6,55.9,64.19999999999999,48.2
VIN00010,7,Honda,Civic,2.0L,Sport,76.6,12.83,4.319999999999999,15.670000000000002,99.0,86.1,56.300000000000004,3998,31.200000000000003,41.5,201.79999999999998,53.300000000000004
VIN00010,8,Honda,Civic,2.0L,Sport,83.3,11.65,4.62,13.65,95.69999999999999,84.3,63.5,3015,19.1,55.599999999999994,212.79999999999998,47.2
VIN00010,9,Honda,Civic,2.0L,Sport,75.5,12.23,3.51,15.65,95.89999999999999,81.3,54.5,5544,12.700000000000001,50.9,127.69999999999999,48.5
VIN00010,10,Honda,Civic,2.0L,Sport,90.2,12.26,4.68,12.290000000000001,97.8,84.39999999999999,54.5,5246,22.0,50.6,208.39999999999998,46.900000000000006
VIN00011,0,BMW,320i,2.0L Turbo,Luxury,95.2,12.77,1.14,14.55,99.9,114.8,33.0,4951,31.9,20.8,483.9,45.2
VIN00011,1,BMW,320i,2.0L Turbo,Luxury,93.60000000000001,12.37,0.71,15.81,94.80000000000001,107.7,22.0,893,33.6,15.4,478.9,37.900000000000006
VIN00011,2,BMW,320i,2.0L Turbo,Luxury,81.0,12.37,1.66,13.73,106.9,113.5,27.4,5534,22.799999999999997,27.0,434.2,41.7
VIN00011,3,BMW,320i,2.0L Turbo,Luxury,101.4,13.0,1.42,13.350000000000001,101.0,110.8,47.3,1611,31.4,19.3,503.9,36.1
VIN00011,4,BMW,320i,2.0L Turbo,Luxury,92.10000000000001,13.33,0.9899999999999999,14.57,106.9,111.3,30.0,6460,21.7,22.2,481.2,49.900000000000006
VIN00011,5,BMW,320i,2.0L Turbo,Luxury,105.0,12.18,1.7799999999999998,16.45,99.0,115.6,19.0,2146,31.7,14.4,555.8,41.800000000000004
VIN00011,6,BMW,320i,2.0L Turbo,Luxury,85.7,12.379999999999999,0.2899999999999999,16.21,103.0,123.1,43.8,3961,29.2,29.1,409.9,43.400000000000006
VIN00011,7,BMW,320i,2.0L Turbo,Luxury,85.2,12.629999999999999,0.96,15.620000000000001,103.9,110.39999999999999,29.4,718,39.6,23.0,455.5,55.0
VIN00011,8,BMW,320i,2.0L Turbo,Luxury,107.3,12.52,1.1099999999999999,15.700000000000001,93.80000000000001,122.39999999999999,23.8,6636,40.7,29.9,452.4,37.300000000000004
VIN00011,9,BMW,320i,2.0L Turbo,Luxury,90.9,13.28,0.9799999999999999,13.170000000000002,95.7,111.5,33.7,6561,40.7,17.3,483.2,53.7
VIN00011,10,BMW,320i,2.0L Turbo,Luxury,91.4,12.6,1.88,15.700000000000001,95.10000000000001,108.8,39.3,4514,34.699999999999996,20.1,442.7,42.1
VIN00012,0,Ford,Focus,1.5L,Titanium,101.5,14.14,4.04,16.09,117.5,88.9,31.3,4200,51.9,40.4,155.2,50.8
VIN00012,1,Ford,Focus,1.5L,Titanium,87.5,14.51,4.53,15.82,110.6,93.0,37.6,5666,63.0,43.5,242.5,42.699999999999996
VIN00012,2,Ford,Focus,1.5L,Titanium,111.2,14.64,4.55,16.8,119.5,79.30000000000001,36.2,1482,40.599999999999994,34.199999999999996,212.7,48.9
VIN00012,3,Ford,Focus,1.5L,Titanium,113.7,14.3,3.83,14.17,116.6,81.60000000000001,23.8,780,44.3,40.9,128.79999999999998,58.5
VIN00012,4,Ford,Focus,1.5L,Titanium,112.9,14.64,3.13,14.96,114.2,93.7,23.0,3279,51.1,31.099999999999998,145.6,47.599999999999994
VIN00012,5,Ford,Focus,1.5L,Titanium,95.5,14.57,4.58,15.03,122.1,89.0,32.6,961,39.9,31.099999999999998,210.6,45.3
VIN00012,6,Ford,Focus,1.5L,Titanium,95.9,13.530000000000001,4.28,17.35,119.7,97.4,36.8,1530,40.3,42.3,229.1,47.3
VIN00012,7,Ford,Focus,1.5L,Titanium,87.0,13.780000000000001,3.2800000000000002,14.98,125.8,98.5,22.6,3347,59.1,40.0,115.99999999999999,41.0
VIN00012,8,Ford,Focus,1.5L,Titanium,112.6,14.84,3.94,17.81,117.4,82.60000000000001,16.700000000000003,2058,63.8,40.699999999999996,209.89999999999998,53.199999999999996
VIN00012,9,Ford,Focus,1.5L,Titanium,94.3,14.940000000000001,3.31,16.96,125.3,85.60000000000001,31.900000000000002,5738,64.6,38.199999999999996,85.79999999999998,52.099999999999994
VIN00012,10,Ford,Focus,1.5L,Titanium,97.7,13.46,3.4,14.68,111.8,95.0,19.6,3336,41.3,42.4,192.79999999999998,55.8
VIN00013,0,Hyundai,Elantra,2.0L,Limited,89.7,14.21,1.82,13.31,71.3,80.7,32.3,6233,35.6,55.5,335.3,32.7
VIN00013,1,Hyundai,Elantra,2.0L,Limited,85.5,13.8,0.9400000000000001,13.05,79.6,74.9,41.4,6644,29.700000000000003,61.5,274.0,40.400000000000006
VIN00013,2,Hyundai,Elantra,2.0L,Limited,103.3,14.8,2.64,11.940000000000001,63.3,72.7,35.199999999999996,1437,38.9,54.4,317.2,27.700000000000003
VIN00013,3,Hyundai,Elantra,2.0L,Limited,104.3,13.81,2.45,14.23,79.6,78.4,41.4,3427,41.800000000000004,61.1,362.3,27.500000000000004
VIN00013,4,Hyundai,Elantra,2.0L,Limited,87.5,14.670000000000002,2.08,14.870000000000001,71.5,74.60000000000001,37.699999999999996,1560,25.700000000000003,56.5,245.20000000000002,39.1
VIN00013,5,Hyundai,Elantra,2.0L,Limited,96.8,14.350000000000001,1.19,12.030000000000001,64.8,70.7,41.9,1093,42.1,50.0,272.1,35.6
VIN00013,6,Hyundai,Elantra,2.0L,Limited,80.3,14.56,2.34,11.82,80.5,71.8,25.199999999999996,2202,38.2,48.3,272.7,23.200000000000003
VIN00013,7,Hyundai,Elantra,2.0L,Limited,104.2,13.870000000000001,1.8900000000000001,11.51,77.7,83.9,35.599999999999994,902,38.800000000000004,64.9,397.0,40.0
VIN00013,8,Hyundai,Elantra,2.0L,Limited,76.3,14.600000000000001,2.23,15.120000000000001,75.2,74.2,43.8,2158,47.6,49.5,332.1,23.700000000000003
VIN00013,9,Hyundai,Elantra,2.0L,Limited,85.8,14.950000000000001,2.73,11.530000000000001,66.89999999999999,90.10000000000001,42.9,1417,26.5,56.4,417.70000000000005,27.1
VIN00013,10,Hyundai,Elantra,2.0L,Limited,93.7,14.83,2.5700000000000003,11.38,77.7,76.9,22.9,5156,48.7,45.5,397.7,32.800000000000004
VIN00014,0,Mercedes,C200,1.5L Turbo,AMG Line,87.2,12.76,4.34,5.63,83.8,100.5,31.8,2253,18.5,58.2,282.3,36.5
VIN00014,1,Mercedes,C200,1.5L Turbo,AMG Line,90.10000000000001,12.56,3.62,5.09,80.8,93.5,36.1,6693,13.7,68.2,314.1,32.1
VIN00014,2,Mercedes,C200,1.5L Turbo,AMG Line,76.9,12.14,4.3,6.4,82.6,108.0,46.5,1509,11.9,51.400000000000006,207.70000000000002,38.7
VIN00014,3,Mercedes,C200,1.5L Turbo,AMG Line,80.8,12.26,3.38,7.3,74.8,104.1,22.3,2512,31.8,61.2,212.70000000000002,33.5
VIN00014,4,Mercedes,C200,1.5L Turbo,AMG Line,77.5,12.92,4.37,6.93,83.89999999999999,98.0,23.4,1220,10.1,55.7,206.20000000000002,30.7
VIN00014,5,Mercedes,C200,1.5L Turbo,AMG Line,73.4,13.51,4.42,6.77,86.3,108.9,30.400000000000002,6404,32.1,48.2,378.0,41.7
VIN00014,6,Mercedes,C200,1.5L Turbo,AMG Line,82.7,13.17,3.57,7.27,74.0,91.2,27.4,1209,23.9,63.800000000000004,202.4,38.7
VIN00014,7,Mercedes,C200,1.5L Turbo,AMG Line,98.5,13.209999999999999,4.52,6.99,76.8,105.2,37.6,6347,22.6,66.9,213.9,30.0
VIN00014,8,Mercedes,C200,1.5L Turbo,AMG Line,99.10000000000001,12.56,4.28,5.359999999999999,90.2,101.7,35.2,1868,32.8,65.4,281.90000000000003,27.5
VIN00014,9,Mercedes,C200,1.5L Turbo,AMG Line,81.7,12.209999999999999,4.14,7.51,81.7,109.7,43.9,2651,22.3,59.400000000000006,362.4,34.6
VIN00014,10,Mercedes,C200,1.5L Turbo,AMG Line,94.8,12.98,3.62,7.17,81.3,109.6,22.0,5158,18.0,66.60000000000001,344.0,34.6
VIN00015,0,Mazda,Mazda3,2.5L,Grand Touring,97.1,12.37,2.6,18.12,105.4,88.8,60.8,1263,65.5,43.2,574.7,54.2
VIN00015,1,Mazda,Mazda3,2.5L,Grand Touring,107.3,12.159999999999998,3.21,18.560000000000002,101.5,98.1,68.0,5981,72.8,34.800000000000004,661.0,57.6
VIN00015,2,Mazda,Mazda3,2.5L,Grand Touring,92.69999999999999,12.879999999999999,2.33,19.86,99.0,83.5,71.7,5082,80.1,36.1,541.5,63.1
VIN00015,3,Mazda,Mazda3,2.5L,Grand Touring,95.89999999999999,12.469999999999999,2.0,16.490000000000002,107.9,97.2,47.4,6694,69.1,38.6,532.7,59.900000000000006
VIN00015,4,Mazda,Mazda3,2.5L,Grand Touring,97.3,13.059999999999999,3.59,18.62,114.4,94.5,74.2,2675,54.2,39.7,493.40000000000003,62.0
VIN00015,5,Mazda,Mazda3,2.5L,Grand Touring,107.8,12.6,3.4000000000000004,19.6,105.60000000000001,91.7,46.699999999999996,6479,71.2,48.400000000000006,482.30000000000007,46.6
VIN00015,6,Mazda,Mazda3,2.5L,Grand Touring,86.69999999999999,12.0,2.64,19.810000000000002,110.4,79.6,68.5,6863,60.5,52.300000000000004,539.1,50.400000000000006
